	-----Compress Huffman-----
	File: data/1.txt Huffman
1) 0.781 sec
2) 0.766 sec
3) 0.859 sec
4) 0.766 sec
5) 0.734 sec
6) 0.735 sec
7) 0.734 sec
8) 0.738 sec
9) 0.734 sec
10) 0.735 sec
11) 0.719 sec
	File: data/2.docx Huffman
1) 1.031 sec
2) 1.047 sec
3) 1.032 sec
4) 1.046 sec
5) 1.032 sec
6) 1.048 sec
7) 1.031 sec
8) 1.047 sec
9) 1.063 sec
10) 1.047 sec
11) 1.046 sec
	File: data/3.pptx Huffman
1) 1 sec
2) 1.016 sec
3) 1.016 sec
4) 1.016 sec
5) 1 sec
6) 1.016 sec
7) 1 sec
8) 1.015 sec
9) 1.016 sec
10) 1.015 sec
11) 1.02 sec
	File: data/4.pdf Huffman
1) 1.031 sec
2) 1.015 sec
3) 1.032 sec
4) 1.015 sec
5) 1.032 sec
6) 1.015 sec
7) 1.032 sec
8) 1.015 sec
9) 1.031 sec
10) 1.016 sec
11) 1.031 sec
	File: data/5.dll Huffman
1) 0.75 sec
2) 0.766 sec
3) 0.766 sec
4) 0.765 sec
5) 0.766 sec
6) 0.75 sec
7) 0.765 sec
8) 0.766 sec
9) 0.766 sec
10) 0.75 sec
11) 0.765 sec
	File: data/6.jpg Huffman
1) 1.047 sec
2) 1.031 sec
3) 1.032 sec
4) 1.047 sec
5) 1.031 sec
6) 1.015 sec
7) 1.047 sec
8) 1.078 sec
9) 1.032 sec
10) 1.031 sec
11) 1.016 sec
	File: data/7.jpg Huffman
1) 1.031 sec
2) 1.015 sec
3) 1.032 sec
4) 1.015 sec
5) 1.032 sec
6) 1.015 sec
7) 1.031 sec
8) 1.016 sec
9) 1.016 sec
10) 1.031 sec
11) 1.031 sec
	File: data/8.bmp Huffman
1) 0.891 sec
2) 0.875 sec
3) 0.906 sec
4) 0.891 sec
5) 0.89 sec
6) 0.875 sec
7) 0.891 sec
8) 0.891 sec
9) 0.874 sec
10) 0.891 sec
11) 0.891 sec
	File: data/9.bmp Huffman
1) 0.344 sec
2) 0.328 sec
3) 0.328 sec
4) 0.328 sec
5) 0.344 sec
6) 0.328 sec
7) 0.328 sec
8) 0.344 sec
9) 0.328 sec
10) 0.328 sec
11) 0.334 sec
	File: data/10.csv Huffman
1) 0.688 sec
2) 0.671 sec
3) 0.688 sec
4) 0.672 sec
5) 0.672 sec
6) 0.672 sec
7) 0.687 sec
8) 0.672 sec
9) 0.687 sec
10) 0.672 sec
11) 0.672 sec
	-----Decompress Huffman-----
	File: data/compressed/1.haff Huffman
1) 0.453 sec
2) 0.422 sec
3) 0.391 sec
4) 0.406 sec
5) 0.391 sec
6) 0.406 sec
7) 0.391 sec
8) 0.406 sec
9) 0.422 sec
10) 0.39 sec
11) 0.391 sec
	File: data/compressed/2.haff Huffman
1) 0.39 sec
2) 0.563 sec
3) 0.39 sec
4) 0.391 sec
5) 0.406 sec
6) 0.391 sec
7) 0.39 sec
8) 0.391 sec
9) 0.406 sec
10) 0.391 sec
11) 0.406 sec
	File: data/compressed/3.haff Huffman
1) 0.39 sec
2) 0.813 sec
3) 0.391 sec
4) 0.406 sec
5) 0.39 sec
6) 0.407 sec
7) 0.39 sec
8) 0.407 sec
9) 0.39 sec
10) 0.406 sec
11) 0.391 sec
	File: data/compressed/4.haff Huffman
1) 0.39 sec
2) 0.547 sec
3) 0.406 sec
4) 0.391 sec
5) 0.391 sec
6) 0.39 sec
7) 0.407 sec
8) 0.39 sec
9) 0.391 sec
10) 0.39 sec
11) 0.407 sec
	File: data/compressed/5.haff Huffman
1) 0.406 sec
2) 0.422 sec
3) 0.406 sec
4) 0.422 sec
5) 0.422 sec
6) 0.406 sec
7) 0.422 sec
8) 0.406 sec
9) 0.422 sec
10) 0.422 sec
11) 0.406 sec
	File: data/compressed/6.haff Huffman
1) 0.406 sec
2) 0.594 sec
3) 0.406 sec
4) 0.391 sec
5) 0.391 sec
6) 0.406 sec
7) 0.422 sec
8) 0.406 sec
9) 0.391 sec
10) 0.406 sec
11) 0.391 sec
	File: data/compressed/7.haff Huffman
1) 0.39 sec
2) 0.594 sec
3) 0.391 sec
4) 0.406 sec
5) 0.39 sec
6) 0.391 sec
7) 0.391 sec
8) 0.406 sec
9) 0.391 sec
10) 0.406 sec
11) 0.406 sec
	File: data/compressed/8.haff Huffman
1) 0.422 sec
2) 0.425 sec
3) 0.422 sec
4) 0.422 sec
5) 0.422 sec
6) 0.422 sec
7) 0.437 sec
8) 0.422 sec
9) 0.422 sec
10) 0.422 sec
11) 0.422 sec
	File: data/compressed/9.haff Huffman
1) 0.234 sec
2) 0.235 sec
3) 0.25 sec
4) 0.234 sec
5) 0.234 sec
6) 0.235 sec
7) 0.234 sec
8) 0.235 sec
9) 0.234 sec
10) 0.234 sec
11) 0.235 sec
	File: data/compressed/10.haff Huffman
1) 0.406 sec
2) 0.625 sec
3) 0.406 sec
4) 0.406 sec
5) 0.407 sec
6) 0.39 sec
7) 0.407 sec
8) 0.406 sec
9) 0.406 sec
10) 0.406 sec
11) 0.407 sec

	-----Compress LZ77-----
	File: data/1.txt LZ775
1) 20.437 sec
2) 20.348 sec
3) 20.391 sec
4) 20.38 sec
5) 20.375 sec
6) 20.359 sec
7) 20.344 sec
8) 20.359 sec
9) 21.027 sec
10) 20.734 sec
11) 20.391 sec
	File: data/2.docx LZ775
1) 40.25 sec
2) 40.14 sec
3) 40.168 sec
4) 40.203 sec
5) 40.75 sec
6) 40.64 sec
7) 40.159 sec
8) 40.156 sec
9) 40.392 sec
10) 40.313 sec
11) 40.062 sec
	File: data/3.pptx LZ775
1) 38.053 sec
2) 37.968 sec
3) 37.953 sec
4) 37.953 sec
5) 38.072 sec
6) 37.876 sec
7) 38.062 sec
8) 37.984 sec
9) 38.063 sec
10) 37.953 sec
11) 37.953 sec
	File: data/4.pdf LZ775
1) 39.111 sec
2) 39.217 sec
3) 39.063 sec
4) 39.125 sec
5) 39.075 sec
6) 39.035 sec
7) 39.092 sec
8) 39.047 sec
9) 39.032 sec
10) 39.095 sec
11) 39.079 sec
	File: data/5.dll LZ775
1) 16.516 sec
2) 16.359 sec
3) 16.375 sec
4) 16.391 sec
5) 16.375 sec
6) 16.383 sec
7) 16.391 sec
8) 16.422 sec
9) 16.391 sec
10) 16.39 sec
11) 16.391 sec
	File: data/6.jpg LZ775
1) 40.125 sec
2) 40.062 sec
3) 40.078 sec
4) 40.032 sec
5) 40.064 sec
6) 40.14 sec
7) 40.967 sec
8) 40.047 sec
9) 40.074 sec
10) 40.06 sec
11) 40.032 sec
	File: data/7.jpg LZ775
1) 39.609 sec
2) 39.503 sec
3) 39.656 sec
4) 39.5 sec
5) 39.469 sec
6) 39.484 sec
7) 39.469 sec
8) 39.5 sec
9) 39.5 sec
10) 39.485 sec
11) 39.484 sec
	File: data/8.bmp LZ775
1) 30.579 sec
2) 30.281 sec
3) 30.281 sec
4) 30.25 sec
5) 30.297 sec
6) 30.266 sec
7) 30.283 sec
8) 30.263 sec
